DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
BOYACA,SOGAMOSO,1423,2024,05,1970001,229,2,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,05,2182001,4,0,0,0,0,0,0,0
VALLE DEL CAUCA,CAICEDONIA,1423,2024,05,5842302,11,0,0,0,0,0,0,0
HUILA,GUADALUPE,1423,2024,05,1841201,14,132,0,0,0,0,0,0
CORDOBA,SAN PELAYO,1423,2024,05,1970001,7,0,0,0,0,0,0,0
NARIÑO,SAN ANDRES DE TUMACO,1423,2024,05,5433003,5,0,0,0,0,0,0,0
CUNDINAMARCA,SAN JUAN DE RIO SECO,1423,2024,05,2853001,0,0,0,0,0,0,0,0
MAGDALENA,SANTA MARTA,1423,2024,05,1841301,53,126,0,0,0,0,0,0
MAGDALENA,SANTA MARTA,1423,2024,05,1642401,38,0,0,0,0,0,0,0
NARIÑO,CHACHAGsI,1423,2024,05,2475201,0,0,0,0,0,0,0,0
ANTIOQUIA,ABEJORRAL,1423,2024,05,2851101,0,0,0,0,0,0,0,0
CORDOBA,MONTERIA,1423,2024,05,4522102,0,0,0,0,0,0,0,0
SANTANDER,VELEZ,1423,2024,05,4475901,3,0,0,0,0,0,0,0
SANTANDER,LANDAZURI,1423,2024,05,5711001,0,0,0,0,0,0,0,0
SUCRE,PALMITO,1423,2024,05,3360001,15,1,0,0,0,0,0,0
ANTIOQUIA,LA ESTRELLA,1423,2024,05,1477301,13,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,05,3475201,61,0,0,0,0,0,0,0
ANTIOQUIA,CALDAS,1423,2024,05,1960901,0,0,0,0,0,0,0,0
BOYACA,DUITAMA,1423,2024,05,4492103,12,456,0,0,0,0,0,0
META,PUERTO GAITAN,1423,2024,05,3711001,0,0,0,0,0,0,0,0
BOYACA,SOGAMOSO,1423,2024,05,1855101,86,20,0,0,0,0,0,0
ANTIOQUIA,PUERTO BERRIO,1423,2024,05,2472101,0,0,0,0,0,0,0,0
BOYACA,MONGUA,1423,2024,05,1474101,0,0,0,0,0,0,0,0
CASANARE,MANI,1423,2024,05,4452001,3,0,0,0,0,0,0,0
QUINDIO,LA TEBAIDA,1423,2024,05,2466301,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,ZARZAL,1423,2024,05,3331201,3,0,0,0,0,0,0,0
CASANARE,OROCUE,1423,2024,05,3466101,1,0,0,0,0,0,0,0
CESAR,PAILITAS,1423,2024,05,1841201,1,38,0,0,0,0,0,0
PUTUMAYO,VILLAGARZON,1423,2024,05,1941101,0,0,0,0,0,0,0,0
SUCRE,SINCELEJO,1423,2024,05,2014902,0,0,0,0,0,0,0,0
QUINDIO,SALENTO,1423,2024,05,1941201,0,0,0,0,0,0,0,0
MAGDALENA,ZONA BANANERA,1423,2024,05,3561101,0,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,05,5812901,7,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,05,1701001,1046,6,0,0,0,0,0,0
