DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
RISARALDA,BELEN DE UMBRIA,1423,2024,9,3475201,2,0,0,0,0,0,0,0
NARIÑO,SAN ANDRES DE TUMACO,1423,2024,9,1463101,25,0,0,0,0,0,0,0
HUILA,GARZON,1423,2024,9,3960101,20,0,0,0,0,0,0,0
CAQUETA,LA MONTAÑITA,1423,2024,9,2014101,56,3,0,0,0,0,0,0
CHOCO,UNION PANAMERICANA,1423,2024,9,1463101,0,0,0,0,0,0,0,0
PUTUMAYO,VILLAGARZON,1423,2024,9,1474101,0,0,0,0,0,0,0,0
ATLANTICO,SOLEDAD,1423,2024,9,1841501,24,53,0,0,0,0,0,0
CORDOBA,CERETE,1423,2024,9,1471901,1,0,0,0,0,0,0,0
SAN ANDRES,SAN ANDRES,1423,2024,9,4259901,0,0,0,0,0,0,0,0
RISARALDA,SANTA ROSA DE CABAL,1423,2024,9,2851101,23,0,0,0,0,0,0,0
META,CASTILLA LA NUEVA,1423,2024,9,3360001,2,0,0,0,0,0,0,0
CHOCO,CERTEGUI,1423,2024,9,5411101,0,0,0,0,0,0,0,0
SAN ANDRES,PROVIDENCIA,1423,2024,9,1970001,7,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,9,3741001,1,1,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,9,1649901,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,BUENAVENTURA,1423,2024,9,3931101,0,37,0,0,0,0,0,0
CUNDINAMARCA,LA CALERA,1423,2024,9,1479901,2,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,9,4101101,0,0,0,0,0,0,0,0
SANTANDER,SOCORRO,1423,2024,9,1466101,0,0,0,0,0,0,0,0
MAGDALENA,PUEBLOVIEJO,1423,2024,9,1799001,0,0,0,0,0,0,0,0
